ID,stage1_temp,stage2_temp,stage3_temp,stage4_temp,stage5_temp,stage1_humidity,stage2_humidity,stage3_humidity,stage4_humidity,stage5_humidity,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,stage5_flow_deviation,stage5_density_deviation,stage5_viscosity_deviation,stage5_co2_deviation,stage5_o2_deviation,stage5_n_deviation,target
0,28.57,30.15,30.71,30.91,31.62,69.08,68.98,70.37,73.67,69.41,2.168080352,3.217163123,5.716122019,2.885678226,-1.830674577,-0.229144599,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,0.408277671,-1.883769614,0.663372024,-0.237335345,1.741880767,-1.393772065,-0.819411946,-3.39539146,3.897850494,-0.381980919,-0.917518658,2.905964698,-4.937284497,14.64206898,1.665658534,2.249967659,5.82766588,-0.056205834,1
1,31.74,31.29,30.92,29.52,30.7,68.24,75.97,72.06,69.72,76.11,2.168080352,2.899058395,0.838872358,2.33439624,0.179069721,-0.678210558,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,-4.5173415,-0.180905993,0.160496236,-1.04056938,3.974075011,-1.393772065,-1.815472355,-2.226714563,-0.336599646,2.651873684,-4.937284497,0.089265176,-4.937284497,12.36120426,1.665658534,3.381749593,5.82766588,-0.056205834,1
5,28.42,28.22,31.63,28.54,31.17,77.29,72.56,76.22,75.59,71.37,2.481529839,-1.413108751,-4.398882023,2.991914783,-0.525480781,0.740848606,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,-7.474887693,-0.464619325,0.608215763,0.94376408,-2.979433831,-0.727370407,3.390644766,-2.220078698,3.405740502,-10.98959448,1.18139461,-0.594650362,1.18139461,-3.064628265,3.918881244,-2.881576532,-1.369119517,-2.100450025,1
9,31.41,29.68,28.46,28,31.86,67.15,72.29,69.02,67.59,71.86,-1.276470432,5.134876139,3.102446416,2.095912052,1.919959698,0.518125258,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,2.400352597,-6.891956216,3.668915643,6.388500914,1.481852576,3.96992192,-1.132269922,2.39158761,-5.602370318,-7.492584409,0.114532609,0.191320226,0.114532609,-0.514606571,0.380653002,-1.747832876,-0.738455952,4.059192083,1
15,30.28,28.67,31.28,29.9,28.85,68.58,67.02,75.29,72.55,75.73,-1.17896382,1.133315158,-3.965499615,0.751248691,-0.11735588,-1.999297952,0.556625983,16.82036287,-1.38015581,0.52349927,-0.686262604,-0.79919821,4.78337604,0.707773506,-0.63765956,2.120535224,-2.376123453,-4.760073717,1.350219873,1.451605979,0.556625983,-9.226330198,-0.021159599,-0.684181484,-0.021159599,-2.966480951,-2.327863446,-3.24150376,2.416667705,-1.223462245,1
22,28.26,30.72,29.5,28.22,29.65,69.66,72.06,70.42,70.91,73.12,-1.346426634,-0.51895519,-2.995028693,0.856630166,1.353474092,1.092511819,-3.785386891,7.013272735,-0.52864125,0.847501805,-0.296132857,1.628327573,1.377259778,-1.102339647,-5.52600912,1.587968476,1.613642608,1.628327573,-1.189398248,0.529045687,-3.785386891,-1.024743,-1.515098495,-1.28286904,-1.376831137,-0.929776987,-0.153265325,-1.815375379,-0.020610648,0.202517586,1
28,28.7,28.81,31.16,28.67,30.97,78.4,77.45,68.28,77.62,76.81,-1.853505695,-3.683040541,1.803224492,5.776568321,2.543704296,0.689132786,2.799483222,-3.972291915,-1.355248196,-2.615801746,0.091596659,0.136856422,-3.054055197,-2.378655028,-0.642729924,-0.864549197,-2.967559313,0.136856422,-0.608437943,0.021784574,2.799483222,1.718467821,0.481680886,-1.262358274,0.481680886,0.052025428,-1.688245978,1.720969063,-0.300823392,1.647424811,1
31,28.81,31.08,30.45,28.63,29.59,68.82,71.92,68.89,71.82,71.52,-2.363638813,1.070422001,-0.85012913,6.064093612,0.344197166,-1.183192741,-4.005843156,-1.689322111,1.139329711,-1.983680119,-0.303194321,0.943788681,-5.644550908,-1.179717085,0.042267453,0.356315054,-1.017035467,0.943788681,3.4486694,-1.373497713,1.693686032,-1.896227858,3.912853427,-1.839349741,3.912853427,-1.265289751,-2.290803894,2.287739739,-2.44078489,-0.89576642,1
33,31.31,30.93,31.38,31.21,31.16,67.78,74.5,67.04,69.17,77.46,-3.658026366,0.132890139,-1.503908716,4.061799826,0.280936568,-1.173250319,-0.006681023,1.94430339,2.760464551,-2.062903078,-0.053869107,-0.907188004,2.584753563,3.767102228,0.167748814,2.033691035,-0.869866374,-0.907188004,2.252938415,-3.513851917,-0.006681023,-6.269560436,2.123040203,-1.423798472,2.123040203,-5.130888307,-2.081795539,-0.890886327,1.832507249,-3.551239063,1
41,31.07,29.65,30.7,29,29.25,72.22,74.9,72.9,71.2,71.13,0.569246795,-1.137519079,2.641426391,-0.011195265,0.701146155,-0.991108172,6.20562927,-11.79408269,-3.136400787,1.477479597,0.001595628,-0.598891346,-5.000095226,2.464633085,-0.525420997,-1.541383854,-6.403327876,-0.598891346,0.741842017,-3.648689014,6.20562927,-11.11485813,-0.881339574,-1.551053963,0.163779546,-4.353876541,2.831476941,-2.41255822,-6.115994965,-0.386735789,1
43,30.89,28.97,28.99,28.61,30.17,77.95,73.64,70,71.44,75.59,1.478720342,0.416385297,-3.130901264,0.155089749,1.006302797,1.718567981,-14.02129858,-0.979171613,1.25001156,1.207123895,2.464723267,3.067651242,-4.222456244,-2.836683398,-1.455435629,2.160271381,1.225594169,3.067651242,2.895312099,-2.647470775,-14.02129858,6.313214589,0.837991322,-0.282743235,-3.963710749,7.018845943,1.513080391,0.907831292,1.559361292,1.079518912,1
51,29.77,30.2,28.17,31.27,29.67,72.8,76.14,76.27,74.59,67.2,2.694065725,2.247558331,-2.037757534,0.971776821,1.318463173,1.862261565,-8.621973393,-1.640422013,-0.579787233,-1.771136735,1.094570147,-6.77663303,1.440830586,-0.144584023,-3.369166747,1.758953035,0.259359801,-6.77663303,-3.283352896,2.15555847,-8.621973393,2.396469368,-2.433388188,-0.869136185,-2.433388188,-3.520291434,5.777238711,-1.469552739,-1.275352663,-2.872818156,1
52,30.28,31.15,28.23,29.66,29.46,74.22,78.55,72.88,76.43,76.8,-1.569804316,-3.176539416,-7.736396021,2.052684266,0.408576018,-2.069189654,-6.446382907,23.35145965,-1.480322999,5.712569471,0.352449748,-1.535689764,12.2139367,-1.136403821,4.204660616,-2.192301441,-0.205814181,-1.535689764,1.027411311,3.79790798,7.627037147,-2.281312942,-0.170443108,-1.581240935,-0.170443108,-0.508294372,-2.690046797,2.653377542,2.56148058,0.207190257,1
56,31.64,29.86,30.46,28.73,30.97,68.63,71.79,70.4,76.09,68.03,1.74305114,4.343189883,0.250285126,2.725200124,0.418743955,0.747775528,-1.672094657,-1.420605061,-0.902926903,1.77079633,0.801557479,-0.992721395,4.097088308,-3.07878918,-3.645860775,-0.766308017,2.275801509,-0.992721395,1.307138109,0.343663603,-9.601718249,6.392643288,-2.016330306,0.590843167,-1.004988417,4.777477748,2.715884761,-1.75233937,3.462152744,-0.778001585,1
