ID,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,target
0,2.168080352,3.217163123,5.716122019,2.885678226,-1.830674577,-0.229144599,1
1,2.168080352,2.899058395,0.838872358,2.33439624,0.179069721,-0.678210558,1
2,-1.28771808,2.700568937,1.686914971,1.783114255,1.001300338,-0.649135739,0
3,-4.743516512,0.326173264,1.359592273,3.879755971,0.743326714,-0.809780656,0
4,-2.484232777,4.69463456,0.452394002,-0.741553274,-0.027710947,-0.729316345,0
5,2.481529839,-1.413108751,-4.398882023,2.991914783,-0.525480781,0.740848606,1
6,7.447292455,1.876311536,-1.732342234,0.836844754,0.269071887,-0.437217731,0
7,4.539371493,-2.308137772,-1.550982841,0.950220205,-0.585419447,-0.377781787,0
8,1.63145053,-2.333013942,2.498412313,2.491682264,0.667270125,-0.4604472,0
9,-1.276470432,5.134876139,3.102446416,2.095912052,1.919959698,0.518125258,1
10,0.749657452,-0.133494398,-1.597487818,0.650201595,0.831595027,0.538453853,0
11,1.594496388,2.365906014,2.653348697,-0.795508861,0.550340699,1.685819225,0
12,1.442001179,-2.354761224,-1.805384761,-2.241219318,0.00520305,-1.103681097,0
13,5.63073031,-0.873896719,-0.44727705,-1.718890773,0.407626305,0.807299324,0
14,4.060764491,3.202414497,0.091653884,1.954361974,0.81004956,0.889195138,0
15,-1.17896382,1.133315158,-3.965499615,0.751248691,-0.11735588,-1.999297952,1
16,1.190515547,-0.935784181,-1.874848577,1.02949959,0.273134734,-0.899617542,0
17,3.559994913,-1.352829954,-3.793899178,1.307750488,0.663625348,-1.000478841,0
18,4.255011054,-0.18408979,-4.831333,1.586001386,-0.188810353,-0.369874175,0
19,2.992610719,0.924314244,-0.602338211,1.864252284,-1.041246053,0.158710714,0
20,2.00291145,-1.151000194,-1.632674494,-4.405943368,-1.09438997,-1.21661425,0
21,-1.121254251,2.624608319,-2.253542342,-0.842016746,-1.147533886,-0.239058627,0
22,-1.346426634,-0.51895519,-2.995028693,0.856630166,1.353474092,1.092511819,1
23,-1.786970579,-5.129705614,-4.173119739,-0.272060959,-0.309672975,0.578094362,0
24,-2.227514524,-2.823252851,-3.676571673,-1.400752084,-0.699567699,0.167124902,0
25,-3.251782392,-3.442686099,-0.021528025,-2.495639603,-1.089462424,1.162928752,0
26,-4.276050261,-3.780638113,-1.20164175,2.534954684,1.85648721,-2.593986097,0
27,-2.251947339,-9.488808435,-0.885551208,5.680726557,-0.300966212,-0.619618306,0
28,-1.853505695,-3.683040541,1.803224492,5.776568321,2.543704296,0.689132786,1
29,-1.455064052,2.122727353,-4.477838287,5.872410085,-0.792850945,0.838928539,0
30,-1.056622408,5.846602493,1.051445065,5.968251848,-0.484213263,-0.172132101,0
31,-2.363638813,1.070422001,-0.85012913,6.064093612,0.344197166,-1.183192741,1
32,0.879957951,-0.613836004,-2.087540908,6.159935376,-0.134350151,0.784053489,0
33,-3.658026366,0.132890139,-1.503908716,4.061799826,0.280936568,-1.173250319,1
34,-0.104533695,-0.344813024,0.379457121,1.963664276,-0.371539498,-0.939595025,0
35,-0.904485384,-0.822516187,0.62655699,-1.105025507,1.094074414,-1.735362722,0
36,-1.704437073,-4.818148144,2.467995663,0.493227145,0.841794747,1.358599881,0
37,-1.2497003,2.730027274,-1.516994777,2.091479797,0.439179847,-1.616384984,0
38,-0.794963526,-2.266884143,2.039539322,3.689732448,-1.770129455,-1.478738942,0
39,-0.340226752,-2.216123556,-0.341095719,-2.353953536,-0.925495727,-1.157713824,0
40,0.114510021,-1.38047216,-2.72173076,-1.95814876,-0.080862,-0.710872607,0
41,0.569246795,-1.137519079,2.641426391,-0.011195265,0.701146155,-0.991108172,1
42,1.023983569,0.6269319,1.386421774,2.782521724,1.48315431,1.231535234,0
43,1.478720342,0.416385297,-3.130901264,0.155089749,1.006302797,1.718567981,1
44,1.933457116,0.009686521,-4.618413554,-1.018016168,-0.250593657,0.864835031,0
45,-0.477371138,1.072040876,0.459370541,-2.191122085,-0.082968308,-0.576625849,0
46,-2.888199391,-1.944569279,-0.70180873,-2.486287482,-0.052529378,-1.712927714,0
47,-1.20708863,-0.094464004,-1.862988001,-2.781452879,2.054019293,-1.480278181,0
48,0.47402213,0.302594487,1.10040275,-3.076618275,0.168184032,-0.597670856,0
49,-1.433471079,-2.038603371,0.657184412,-1.323553026,0.342405998,1.299591773,0
50,-0.885406669,-0.456536646,-2.087918953,-0.109130623,-2.188387602,-0.366101863,0
51,2.694065725,2.247558331,-2.037757534,0.971776821,1.318463173,1.862261565,1
52,-1.569804316,-3.176539416,-7.736396021,2.052684266,0.408576018,-2.069189654,1
53,2.60913673,-5.581194582,-0.734632529,1.52344865,-0.507623411,1.095735325,0
54,0.374309644,0.821797666,-2.137915085,2.500673501,-1.423822841,0.325843133,0
55,-0.893902286,-3.974080028,-0.053427546,3.477898352,0.512428505,0.515241623,0
56,1.74305114,4.343189883,0.250285126,2.725200124,0.418743955,0.747775528,1
57,2.742749337,-1.453446034,-0.172950246,1.972501896,0.325059405,0.980309433,0
58,3.742447535,0.074294693,-2.318488421,2.182915479,-1.582463039,0.177216665,0
59,4.742145732,0.819162284,2.929880391,-1.13402206,-2.807750434,0.192044167,0
60,5.741843929,1.564029875,-0.107562554,-2.220645785,-0.998657154,2.067094753,0
61,3.707703359,2.141906218,0.377585834,-0.518727766,0.810436126,-0.036507733,0
62,1.67356279,-4.616469531,0.862734222,-0.325392548,-1.053695461,-0.693433055,0
63,-0.36057778,3.732239757,-0.353970118,-0.13205733,-0.222151295,-0.607017252,0
64,-0.477698923,-5.111003481,-0.913055384,0.250936356,-0.046100161,-1.732291849,0
65,-0.594820066,-2.104833666,0.514980908,0.633930042,1.201282389,0.251245637,0
66,-0.711941209,-3.47149761,0.472874592,-1.240563151,0.489229871,-0.196781711,0
67,-1.234752552,5.186314181,0.371078617,-0.706122201,-0.222822646,0.532934737,0
68,-1.757563894,-1.286477674,0.269282643,-0.171681252,-0.934875164,0.692479143,0
69,-2.280375236,2.890875946,-2.743994306,0.185448077,-0.03409785,2.091496743,1
70,-2.803186578,3.941285503,5.258401186,0.542577406,1.501977252,-0.484042203,1
71,0.705704187,-0.342313532,2.888985106,0.899706735,-0.360728887,1.266205972,1
72,2.451276211,-2.021880323,-2.987548413,-1.525404023,0.117193176,0.188619176,0
73,0.924612595,3.412649278,-0.091267141,-3.232679999,-1.242972567,0.809785633,0
74,-0.60205102,-0.811704108,-0.981267435,1.188009926,-1.02751612,-0.563694322,0
75,-2.128714636,-1.733798991,-1.63739756,1.595679055,-0.25814677,0.242970967,0
76,-3.655378251,4.959989171,4.342244942,2.003348184,-0.219949029,0.721795895,1
77,3.249828115,1.867791729,-4.704643332,1.469812453,0.628118839,0.806818456,0
78,0.128589974,2.617168646,3.171286178,0.936276722,0.610638985,0.891841018,0
79,1.625246922,-3.443051638,-0.593461613,0.402740991,-0.58166592,1.273891339,0
80,3.12190387,-2.345648604,-3.244157209,0.151967484,0.677094663,0.370685034,1
81,4.618560817,2.332140077,3.805561654,-5.319382929,-1.175101114,-0.019831134,0
82,2.153843536,0.263274052,-4.01265199,-4.401124512,-1.202768161,-0.410347301,0
83,1.50425369,1.123391254,0.775392434,-3.482866095,-1.230435209,-0.07686578,0
84,0.854663845,1.983508457,-2.22556725,0.551631741,-0.55752248,-1.163064742,1
85,-3.258472593,-6.940655981,-3.269192606,4.022209829,-0.524984602,-1.866160479,0
86,0.869088769,-0.69328584,1.017770367,-4.42232503,2.318742805,-1.154095168,0
87,-2.260392768,1.012191281,-1.821621653,-4.50955725,0.630418669,-2.663942539,0
88,-0.897401376,2.159371156,2.303543697,-3.681637443,-0.135633322,-0.293985042,1
89,0.465590015,-0.281487384,-3.821402409,-2.853717637,1.380974825,-1.596302393,0
90,1.828581407,-0.785374203,-0.631636012,-2.270925978,0.31887305,0.207355981,1
91,3.191572798,-0.501172549,0.352590045,1.687366434,0.370780394,-0.888483597,0
92,4.55456419,4.470230367,-1.845120258,2.640042783,0.552327836,0.704090679,1
93,1.674290752,-1.940635471,-0.69225295,3.592719132,-1.465122347,0.585896769,0
94,-1.205982685,5.276212562,2.63022259,3.27681569,0.32172497,1.622889079,1
95,-0.062968859,2.800769043,2.242100382,2.960912247,-1.457165387,0.091627319,0
96,1.080044968,0.325325524,1.444030642,2.645008805,-0.204211434,0.091732154,0
97,-1.097902348,1.847967264,0.64817264,2.329105362,0.417309938,-0.225381161,1
98,-1.46005828,-2.317041757,1.495665653,1.62231256,1.185498806,0.032243324,0
99,-1.822214213,-3.737025535,-3.196527547,0.915519759,-0.955637548,1.133568314,0
100,-2.136321615,-0.929080683,-4.671052971,0.208726957,0.816716089,0.173032119,1
101,-2.450429017,-0.859604088,-0.332106581,-0.498065844,-1.067398819,0.818927227,1
102,-1.374532676,1.879391502,0.307142949,-1.204858646,0.301450826,1.06140001,0
103,0.212230494,4.618387091,-2.605206849,-1.911651448,-0.692906728,-0.97249655,0
104,1.798993665,2.87905498,1.127552355,-2.618444249,-0.71544767,-0.375695783,0
105,-2.1713695,-1.407681435,-0.589728229,-2.405203967,-0.157190207,2.17095504,0
106,3.352462979,0.373052525,-3.415022273,-1.66230208,0.401067255,1.827086454,0
107,0.82429345,-0.440171461,-0.210044789,-0.919400192,-0.230895988,0.820525267,1
108,-1.703876079,-0.453260131,-1.415925714,3.963049006,-0.182023413,-0.774965397,0
109,-4.232045608,-0.466348802,-2.451484167,0.345834657,-0.133150838,0.077706167,0
110,3.1277582,-0.100523013,0.669767298,-1.081539374,0.326255266,-1.072506095,0
111,3.478341525,-1.977241166,-0.44350057,0.474776759,-0.970171185,1.879218324,1
112,3.828924851,3.81240956,1.272697809,2.031092893,-1.212548597,-0.974796559,1
113,-1.152349239,-0.53072479,0.41430102,0.646917662,0.846347075,-0.782766733,0
114,-1.442707283,1.295712693,-1.003258522,-0.737257569,-1.280059625,0.26347874,0
115,1.237175464,-0.550830299,0.815550749,1.102218376,0.955587348,-1.352772375,0
116,0.93821192,-0.479331671,3.641499896,2.94169432,-1.791644992,0.678206447,0
117,2.327586339,1.391986378,1.751146926,0.317927499,-0.624398239,-1.570408032,1
118,3.716960757,-1.970248938,1.128787431,-1.344811928,0.603422045,1.518361542,1
119,-3.525630917,2.443201172,-2.487361722,-3.007551356,0.095097059,0.953253452,0
120,2.752195429,1.75899912,-3.362474778,0.616236779,2.556108529,1.092686573,0
121,2.765395703,-1.557877787,-0.444388925,2.482037446,2.013194109,0.952643291,0
