ID,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,target
0,2.168080352,3.217163123,5.716122019,2.885678226,-1.830674577,-0.229144599,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,1
1,2.168080352,2.899058395,0.838872358,2.33439624,0.179069721,-0.678210558,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,1
2,-1.28771808,2.700568937,1.686914971,1.783114255,1.001300338,-0.649135739,5.108084096,-9.791526932,0.060347371,0.631451669,1.303298322,-1.393772065,0
3,-4.743516512,0.326173264,1.359592273,3.879755971,0.743326714,-0.809780656,-2.535448376,10.66137445,0.436858464,-0.00249652,1.111001961,-3.107679701,0
4,-2.484232777,4.69463456,0.452394002,-0.741553274,-0.027710947,-0.729316345,-10.55932618,9.699309624,-0.315411355,0.855255548,0.749749002,1.217896624,0
5,2.481529839,-1.413108751,-4.398882023,2.991914783,-0.525480781,0.740848606,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,1
6,7.447292455,1.876311536,-1.732342234,0.836844754,0.269071887,-0.437217731,-8.372207718,-16.45926503,5.823739153,-4.352333969,1.174110055,0.462784239,0
7,4.539371493,-2.308137772,-1.550982841,0.950220205,-0.585419447,-0.377781787,-2.568912692,12.76043068,0.407640072,5.306783097,0.412990462,4.870934689,0
8,1.63145053,-2.333013942,2.498412313,2.491682264,0.667270125,-0.4604472,4.467702318,10.49840566,0.420910381,4.076980329,-0.31702573,-1.844241407,0
9,-1.276470432,5.134876139,3.102446416,2.095912052,1.919959698,0.518125258,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,1
10,0.749657452,-0.133494398,-1.597487818,0.650201595,0.831595027,0.538453853,-4.927667808,-0.034612324,-1.544872608,-1.856383609,0.581816838,-0.080847397,0
11,1.594496388,2.365906014,2.653348697,-0.795508861,0.550340699,1.685819225,3.401372996,-10.96489251,-0.671318144,-0.971111455,-1.307183347,-4.825377476,0
12,1.442001179,-2.354761224,-1.805384761,-2.241219318,0.00520305,-1.103681097,11.66418775,-2.114893244,-0.423691042,0.918928165,-0.808656965,-1.15250017,0
13,5.63073031,-0.873896719,-0.44727705,-1.718890773,0.407626305,0.807299324,9.306875458,-4.381862649,-0.742512631,3.338947084,-0.221393317,-0.19454029,0
14,4.060764491,3.202414497,0.091653884,1.954361974,0.81004956,0.889195138,6.949563161,-6.648832054,-1.061334221,1.931223177,0.369566707,-0.877211946,0
15,-1.17896382,1.133315158,-3.965499615,0.751248691,-0.11735588,-1.999297952,0.556625983,16.82036287,-1.38015581,0.52349927,-0.686262604,-0.79919821,1
16,1.190515547,-0.935784181,-1.874848577,1.02949959,0.273134734,-0.899617542,-1.696741996,7.665961785,-1.703670145,-0.884224637,-2.441580807,-0.721184475,0
17,3.559994913,-1.352829954,-3.793899178,1.307750488,0.663625348,-1.000478841,4.95913525,-0.985278717,-2.02718448,-4.334918733,-1.165781918,-0.64317074,0
18,4.255011054,-0.18408979,-4.831333,1.586001386,-0.188810353,-0.369874175,2.800724708,3.551405879,-1.322679376,-3.440437682,0.130673916,0.776436164,0
19,2.992610719,0.924314244,-0.602338211,1.864252284,-1.041246053,0.158710714,-5.421483586,-9.748759216,-0.618174272,-1.414314978,0.567474809,2.196043068,0
20,2.00291145,-1.151000194,-1.632674494,-4.405943368,-1.09438997,-1.21661425,3.184738131,5.267843282,-2.662491451,-2.914595054,-0.497995473,-5.791688688,0
