ID,stage1_flow_deviation,stage1_density_deviation,stage1_viscosity_deviation,stage1_co2_deviation,stage1_o2_deviation,stage1_n_deviation,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,target
0,2.168080352,3.217163123,5.716122019,2.885678226,-1.830674577,-0.229144599,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,0.408277671,-1.883769614,0.663372024,-0.237335345,1.741880767,-1.393772065,1
1,2.168080352,2.899058395,0.838872358,2.33439624,0.179069721,-0.678210558,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,-4.5173415,-0.180905993,0.160496236,-1.04056938,3.974075011,-1.393772065,1
2,-1.28771808,2.700568937,1.686914971,1.783114255,1.001300338,-0.649135739,5.108084096,-9.791526932,0.060347371,0.631451669,1.303298322,-1.393772065,-9.442960672,-2.436031102,1.306348749,-5.404541911,3.761468967,-1.393772065,0
3,-4.743516512,0.326173264,1.359592273,3.879755971,0.743326714,-0.809780656,-2.535448376,10.66137445,0.436858464,-0.00249652,1.111001961,-3.107679701,-11.20889147,-0.188820258,2.650915317,3.410936737,3.548862922,-3.107679701,0
4,-2.484232777,4.69463456,0.452394002,-0.741553274,-0.027710947,-0.729316345,-10.55932618,9.699309624,-0.315411355,0.855255548,0.749749002,1.217896624,-12.97482227,-8.202278514,1.62956554,-1.191974849,0.359696992,-1.917525054,0
5,2.481529839,-1.413108751,-4.398882023,2.991914783,-0.525480781,0.740848606,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,-7.474887693,-0.464619325,0.608215763,0.94376408,-2.979433831,-0.727370407,1
6,7.447292455,1.876311536,-1.732342234,0.836844754,0.269071887,-0.437217731,-8.372207718,-16.45926503,5.823739153,-4.352333969,1.174110055,0.462784239,-1.974953113,0.367577057,0.242469479,-1.128737205,4.255090295,0.462784239,0
7,4.539371493,-2.308137772,-1.550982841,0.950220205,-0.585419447,-0.377781787,-2.568912692,12.76043068,0.407640072,5.306783097,0.412990462,4.870934689,7.167397671,1.199773439,-0.123276806,1.608545141,4.418091887,4.870934689,0
8,1.63145053,-2.333013942,2.498412313,2.491682264,0.667270125,-0.4604472,4.467702318,10.49840566,0.420910381,4.076980329,-0.31702573,-1.844241407,11.98736115,3.606010235,0.60052021,2.368105288,2.168967336,-1.844241407,0
9,-1.276470432,5.134876139,3.102446416,2.095912052,1.919959698,0.518125258,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,2.400352597,-6.891956216,3.668915643,6.388500914,1.481852576,3.96992192,1
