ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,target
0,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,0.408277671,-1.883769614,0.663372024,-0.237335345,1.741880767,-1.393772065,1
1,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,-4.5173415,-0.180905993,0.160496236,-1.04056938,3.974075011,-1.393772065,1
2,5.108084096,-9.791526932,0.060347371,0.631451669,1.303298322,-1.393772065,-9.442960672,-2.436031102,1.306348749,-5.404541911,3.761468967,-1.393772065,0
3,-2.535448376,10.66137445,0.436858464,-0.00249652,1.111001961,-3.107679701,-11.20889147,-0.188820258,2.650915317,3.410936737,3.548862922,-3.107679701,0
4,-10.55932618,9.699309624,-0.315411355,0.855255548,0.749749002,1.217896624,-12.97482227,-8.202278514,1.62956554,-1.191974849,0.359696992,-1.917525054,0
5,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,-7.474887693,-0.464619325,0.608215763,0.94376408,-2.979433831,-0.727370407,1
6,-8.372207718,-16.45926503,5.823739153,-4.352333969,1.174110055,0.462784239,-1.974953113,0.367577057,0.242469479,-1.128737205,4.255090295,0.462784239,0
7,-2.568912692,12.76043068,0.407640072,5.306783097,0.412990462,4.870934689,7.167397671,1.199773439,-0.123276806,1.608545141,4.418091887,4.870934689,0
8,4.467702318,10.49840566,0.420910381,4.076980329,-0.31702573,-1.844241407,11.98736115,3.606010235,0.60052021,2.368105288,2.168967336,-1.844241407,0
9,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,2.400352597,-6.891956216,3.668915643,6.388500914,1.481852576,3.96992192,1
10,-4.927667808,-0.034612324,-1.544872608,-1.856383609,0.581816838,-0.080847397,-7.186655953,-4.573895631,3.988319216,1.381380979,1.491318521,-0.427727778,0
11,3.401372996,-10.96489251,-0.671318144,-0.971111455,-1.307183347,-4.825377476,1.182360515,2.967487241,0.474398086,-0.897176069,0.882918616,-4.825377476,0
12,11.66418775,-2.114893244,-0.423691042,0.918928165,-0.808656965,-1.15250017,9.551376983,6.895642752,-1.709593149,-3.175733118,0.274518711,-1.15250017,0
13,9.306875458,-4.381862649,-0.742512631,3.338947084,-0.221393317,-0.19454029,3.535723788,0.041352556,-0.61038039,-3.652716637,-2.910766634,-0.19454029,0
14,6.949563161,-6.648832054,-1.061334221,1.931223177,0.369566707,-0.877211946,-3.321069438,-0.63079372,0.488832369,-4.129700156,-2.119551446,-0.877211946,0
15,0.556625983,16.82036287,-1.38015581,0.52349927,-0.686262604,-0.79919821,4.78337604,0.707773506,-0.63765956,2.120535224,-2.376123453,-4.760073717,1
16,-1.696741996,7.665961785,-1.703670145,-0.884224637,-2.441580807,-0.721184475,5.495116547,0.566349164,0.892732849,2.96523082,1.929030409,-0.79327077,0
17,4.95913525,-0.985278717,-2.02718448,-4.334918733,-1.165781918,-0.64317074,0.948801769,-0.4391086,2.177196427,-0.104704381,-2.916977012,-0.64317074,0
