ID,stage2_flow_deviation,stage2_density_deviation,stage2_viscosity_deviation,stage2_co2_deviation,stage2_o2_deviation,stage2_n_deviation,stage3_flow_deviation,stage3_density_deviation,stage3_viscosity_deviation,stage3_co2_deviation,stage3_o2_deviation,stage3_n_deviation,stage4_flow_deviation,stage4_density_deviation,stage4_viscosity_deviation,stage4_co2_deviation,stage4_o2_deviation,stage4_n_deviation,target
0,3.897850494,-5.759907377,-0.316163722,1.292310592,0.816497623,2.385050939,0.408277671,-1.883769614,0.663372024,-0.237335345,1.741880767,-1.393772065,-0.819411946,-3.39539146,3.897850494,-0.381980919,-0.917518658,2.905964698,1
1,-0.336599646,-7.775717154,-0.316163722,1.265399858,-0.439536068,-2.58006525,-4.5173415,-0.180905993,0.160496236,-1.04056938,3.974075011,-1.393772065,-1.815472355,-2.226714563,-0.336599646,2.651873684,-4.937284497,0.089265176,1
2,5.108084096,-9.791526932,0.060347371,0.631451669,1.303298322,-1.393772065,-9.442960672,-2.436031102,1.306348749,-5.404541911,3.761468967,-1.393772065,3.179709129,-2.716911815,5.108084096,5.685728286,-3.535673213,0.871248887,0
3,-2.535448376,10.66137445,0.436858464,-0.00249652,1.111001961,-3.107679701,-11.20889147,-0.188820258,2.650915317,3.410936737,3.548862922,-3.107679701,2.868772317,-1.126203144,-2.535448376,5.497905895,-2.13406193,-1.188985095,0
4,-10.55932618,9.699309624,-0.315411355,0.855255548,0.749749002,1.217896624,-12.97482227,-8.202278514,1.62956554,-1.191974849,0.359696992,-1.917525054,3.129708541,-1.433270406,-10.55932618,7.259877927,-0.192611825,-1.648625865,0
5,3.405740502,8.737244794,2.754163899,2.983202496,0.58273648,-0.565623289,-7.474887693,-0.464619325,0.608215763,0.94376408,-2.979433831,-0.727370407,3.390644766,-2.220078698,3.405740502,-10.98959448,1.18139461,-0.594650362,1
6,-8.372207718,-16.45926503,5.823739153,-4.352333969,1.174110055,0.462784239,-1.974953113,0.367577057,0.242469479,-1.128737205,4.255090295,0.462784239,-2.355319839,-2.195410959,-8.372207718,13.5966773,-4.309285949,0.283718528,0
7,-2.568912692,12.76043068,0.407640072,5.306783097,0.412990462,4.870934689,7.167397671,1.199773439,-0.123276806,1.608545141,4.418091887,4.870934689,5.303894242,-1.140155394,-2.568912692,5.755924007,-2.834679763,1.162087417,0
8,4.467702318,10.49840566,0.420910381,4.076980329,-0.31702573,-1.844241407,11.98736115,3.606010235,0.60052021,2.368105288,2.168967336,-1.844241407,4.649714995,-2.196225256,4.467702318,-0.868330201,-1.360073577,0.676703821,0
9,-5.602370318,8.236380651,-0.367163352,1.356278987,-0.753266112,3.96992192,2.400352597,-6.891956216,3.668915643,6.388500914,1.481852576,3.96992192,-1.132269922,2.39158761,-5.602370318,-7.492584409,0.114532609,0.191320226,1
10,-4.927667808,-0.034612324,-1.544872608,-1.856383609,0.581816838,-0.080847397,-7.186655953,-4.573895631,3.988319216,1.381380979,1.491318521,-0.427727778,-1.285015064,-0.390900537,-4.927667808,0.114892141,-2.610392215,-0.29406337,0
11,3.401372996,-10.96489251,-0.671318144,-0.971111455,-1.307183347,-4.825377476,1.182360515,2.967487241,0.474398086,-0.897176069,0.882918616,-4.825377476,-2.075058633,2.253744362,3.401372996,2.646707066,-3.036442329,-1.960620814,0
12,11.66418775,-2.114893244,-0.423691042,0.918928165,-0.808656965,-1.15250017,9.551376983,6.895642752,-1.709593149,-3.175733118,0.274518711,-1.15250017,-1.827962525,0.090308405,11.66418775,0.84561008,0.552133473,-0.424540049,0
13,9.306875458,-4.381862649,-0.742512631,3.338947084,-0.221393317,-0.19454029,3.535723788,0.041352556,-0.61038039,-3.652716637,-2.910766634,-0.19454029,-4.155488218,2.821655811,3.291357916,-9.594390267,-3.120053149,-0.452393065,0
14,6.949563161,-6.648832054,-1.061334221,1.931223177,0.369566707,-0.877211946,-3.321069438,-0.63079372,0.488832369,-4.129700156,-2.119551446,-0.877211946,0.507670112,1.653858331,6.949563161,2.881925926,-0.360178361,-0.066182235,0
15,0.556625983,16.82036287,-1.38015581,0.52349927,-0.686262604,-0.79919821,4.78337604,0.707773506,-0.63765956,2.120535224,-2.376123453,-4.760073717,1.350219873,1.451605979,0.556625983,-9.226330198,-0.021159599,-0.684181484,1
16,-1.696741996,7.665961785,-1.703670145,-0.884224637,-2.441580807,-0.721184475,5.495116547,0.566349164,0.892732849,2.96523082,1.929030409,-0.79327077,0.850664846,0.150211641,-1.696741996,3.606413552,-0.934260713,0.348734104,0
17,4.95913525,-0.985278717,-2.02718448,-4.334918733,-1.165781918,-0.64317074,0.948801769,-0.4391086,2.177196427,-0.104704381,-2.916977012,-0.64317074,0.016687291,1.828856222,4.95913525,-1.749395882,-1.529221131,0.570345493,0
18,2.800724708,3.551405879,-1.322679376,-3.440437682,0.130673916,0.776436164,-0.358358305,-0.485770388,3.461660004,-0.658347339,-0.781153017,-0.075894647,3.766591212,0.857459974,2.800724708,-0.094999647,-1.723666258,-0.671644582,0
19,-5.421483586,-9.748759216,-0.618174272,-1.414314978,0.567474809,2.196043068,-1.665518379,-0.532432176,-1.946295017,-0.077129053,-3.077419327,2.196043068,-4.829187193,0.862690702,-5.421483586,1.356064574,-3.309253653,-1.259245463,0
20,3.184738131,5.267843282,-2.662491451,-2.914595054,-0.497995473,-5.791688688,4.367635394,5.330637031,3.929441911,1.48228198,-3.400310724,-5.791688688,2.480032883,2.909888335,3.184738131,-7.742991618,-1.946941829,-1.846846345,0
21,-7.745079575,-10.95874226,-0.394934211,-4.858606454,1.257371206,0.47287591,2.872447586,2.867124056,-5.425673004,-3.436025082,-2.911548618,0.47287591,-4.916439225,3.684019804,-7.745079575,-0.163519848,-3.490143202,1.835734408,0
22,-3.785386891,7.013272735,-0.52864125,0.847501805,-0.296132857,1.628327573,1.377259778,-1.102339647,-5.52600912,1.587968476,1.613642608,1.628327573,-1.189398248,0.529045687,-3.785386891,-1.024743,-1.515098495,-1.28286904,1
23,-13.50388932,-2.519009168,-0.769695097,2.519016712,-1.849636919,-1.693208205,4.678896596,-0.070247733,-5.626345236,0.06538382,0.470978052,-1.693208205,-1.620557478,1.50822415,-13.50388932,-0.196104177,0.459946211,-0.089670868,0
24,2.697188529,6.354880231,-1.010748943,3.461360735,-0.802741928,-0.897638848,5.662881904,0.96184418,-3.38869582,-1.457200836,-2.708901168,-0.897638848,0.417717744,2.487402613,2.697188529,-1.009800671,-2.184833171,-1.597874361,0
25,3.585307223,6.540631342,0.541782007,2.566190716,0.047267031,-1.869112125,9.722936114,5.026820161,-1.151046403,2.222370776,-2.773000133,-1.869112125,-1.541174771,0.576906346,3.585307223,-8.854789268,-1.518204657,-0.007273351,0
26,-1.158754518,7.742140333,2.094312957,1.671020696,-0.606457869,-1.19166594,14.20168607,4.42978777,1.086603014,4.395679033,-1.961739694,-1.19166594,-1.628693195,-0.401585087,0.581323372,-5.059957793,-0.851576143,0.989408914,0
27,-5.902816258,8.943649324,0.36953238,5.986484789,-0.37012706,-1.111601941,5.573815437,0.240967967,-4.749457384,4.768531053,1.525124054,-1.111601941,-1.716211619,-1.38007652,-5.902816258,-1.670744986,-0.184947628,-0.13647468,0
28,2.799483222,-3.972291915,-1.355248196,-2.615801746,0.091596659,0.136856422,-3.054055197,-2.378655028,-0.642729924,-0.864549197,-2.967559313,0.136856422,-0.608437943,0.021784574,2.799483222,1.718467821,0.481680886,-1.262358274,1
29,11.5017827,-2.867849253,0.015720053,-3.01399494,0.553320378,-4.811197045,-7.040170246,0.697547286,3.178984153,-7.847223194,0.794762411,-4.811197045,1.900772587,-1.257334158,11.5017827,-3.928071721,0.59431896,0.880685564,0
30,-3.2199592,9.651095375,0.577524882,-3.412188133,0.399391068,-4.262015655,-8.426929522,-2.140775891,1.564101698,4.736884662,0.231982452,-4.262015655,4.832352927,3.212557019,6.597734367,2.988821081,-3.818150071,-0.479332089,0
31,-4.005843156,-1.689322111,1.139329711,-1.983680119,-0.303194321,0.943788681,-5.644550908,-1.179717085,0.042267453,0.356315054,-1.017035467,0.943788681,3.4486694,-1.373497713,1.693686032,-1.896227858,3.912853427,-1.839349741,1
32,-4.791727111,4.587520514,1.049889278,-1.904616334,-1.780681191,-1.322171602,-1.529898673,-1.979433344,-1.479566792,4.36046974,0.495234669,-1.322171602,0.040736221,-2.443674815,-4.791727111,1.195720666,-0.943372286,0.319191292,0
33,-0.006681023,1.94430339,2.760464551,-2.062903078,-0.053869107,-0.907188004,2.584753563,3.767102228,0.167748814,2.033691035,-0.869866374,-0.907188004,2.252938415,-3.513851917,-0.006681023,-6.269560436,2.123040203,-1.423798472,1
34,0.917976302,-0.698913733,1.610893128,4.392532609,0.446786117,-0.612278643,11.65300872,2.032496024,2.132895701,3.314932098,4.645768567,-0.612278643,-0.431158501,-4.584029019,0.917976302,12.80348341,-2.45986807,0.729316051,0
35,-2.857720564,11.4985727,0.461321704,2.31436175,0.510761643,-4.278462454,8.78371466,3.193730617,4.098042589,4.596173162,-0.818310749,-4.278462454,1.342926131,-0.019463507,-2.857720564,-3.310165744,-3.61316154,0.031536045,0
36,4.714163891,0.709783082,-0.688249719,5.602105365,0.119176725,-0.762717726,12.42178995,4.602250749,1.106410114,-0.309810101,0.93350692,-0.762717726,1.182299467,-3.905010625,4.714163891,4.868009288,-3.877800736,-0.666243962,0
37,-5.677066469,-10.07900653,0.127088005,4.678467209,-0.07022739,0.968843039,-11.03976137,-0.466243614,-0.306746856,-4.433215737,-2.672209544,0.968843039,2.756992918,-4.09264334,-5.677066469,8.327365209,-4.142439932,0.361668624,0
38,0.283358186,0.4912871,0.942425729,3.754829052,-0.259631506,-3.207420711,7.728841604,-0.580428265,-1.719903826,0.194495085,0.497511383,-3.207420711,1.345512313,-4.280276055,0.283358186,4.103828917,0.196547891,0.554362075,0
39,7.918303351,-7.408977823,1.757763453,2.831190895,-0.714345734,-1.909569708,6.972685038,5.236012476,-1.612715787,0.627319111,-3.142833495,-1.909569708,2.344394679,1.663157016,7.918303351,-6.036297807,-3.447397191,0.797468161,0
40,-0.037873693,-0.246139543,2.573101178,3.161940119,-0.214478146,-0.362505867,7.088346501,2.751975863,-1.505527748,-1.041898393,-1.628608305,-0.362505867,-0.240352424,-0.891701714,-0.037873693,-1.836096147,-0.108895037,-0.376792901,0
41,6.20562927,-11.79408269,-3.136400787,1.477479597,0.001595628,-0.598891346,-5.000095226,2.464633085,-0.525420997,-1.541383854,-6.403327876,-0.598891346,0.741842017,-3.648689014,6.20562927,-11.11485813,-0.881339574,-1.551053963,1
42,6.554174654,-9.358003715,-0.943194614,3.838431492,-0.141133871,1.234379948,-2.264965866,-0.879741821,0.423493871,-3.445857125,0.204086528,0.091406658,-1.269076942,-3.796181601,6.554174654,-3.403431108,0.436454129,-0.916898599,0
43,-14.02129858,-0.979171613,1.25001156,1.207123895,2.464723267,3.067651242,-4.222456244,-2.836683398,-1.455435629,2.160271381,1.225594169,3.067651242,2.895312099,-2.647470775,-14.02129858,6.313214589,0.837991322,-0.282743235,1
44,3.726569863,7.399660488,-2.751594147,1.5005661,0.753527826,4.11690991,-0.368794252,-3.446438433,4.866148692,1.538700706,4.892046093,1.125297554,-1.575363647,-1.498759949,3.726569863,-6.405689971,1.239528515,-0.159523974,0
45,6.863649245,-6.469913087,-2.537032333,-2.80103962,0.263278444,-0.817056135,-3.396713863,-2.36051865,1.803758395,-2.964711398,-1.484001875,-0.817056135,0.339222442,1.872600737,6.863649245,-0.573219004,-2.714443454,-0.036304714,0
46,-5.286959205,1.445807002,-2.322470519,2.986990788,0.617430254,1.173704328,-2.522497487,-1.274598867,-2.032362358,-4.085752973,5.40526984,5.150491741,4.265273422,-4.040148415,1.800858166,15.10669764,-2.206773305,0.004602725,0
47,-3.261932913,9.748609082,-0.523605595,1.240583986,0.610464209,3.164464791,-1.648281111,-1.626677364,-0.336316331,4.832836053,-0.600188474,3.164464791,3.613908665,0.606481846,-3.261932913,-2.316030306,-0.016360014,-0.237279774,0
48,1.068823761,-6.114903636,-1.147921168,1.998658804,-0.943020204,-0.42386984,-0.774064735,0.466064915,-0.443971704,0.885019796,-1.663908887,1.718282756,-1.485371593,0.112948621,1.068823761,-0.846298794,-3.382054823,-0.135440161,0
49,3.589202966,3.22146204,-0.413586317,2.756733623,0.313383853,0.272100721,5.690220679,2.558807193,-0.551627076,1.316600782,0.128332962,0.272100721,0.932400947,-0.431689003,3.589202966,0.623432718,0.585205933,-0.033600548,0
50,0.781930075,9.658529032,0.320748533,2.542580492,0.703977,0.476625416,6.055903071,2.300092753,3.215318283,2.56263906,1.678440581,0.476625416,-1.598515184,1.808414953,0.781930075,-11.83597061,1.546348982,0.068239065,0
51,-8.621973393,-1.640422013,-0.579787233,-1.771136735,1.094570147,-6.77663303,1.440830586,-0.144584023,-3.369166747,1.758953035,0.259359801,-6.77663303,-3.283352896,2.15555847,-8.621973393,2.396469368,-2.433388188,-0.869136185,1
52,-6.446382907,23.35145965,-1.480322999,5.712569471,0.352449748,-1.535689764,12.2139367,-1.136403821,4.204660616,-2.192301441,-0.205814181,-1.535689764,1.027411311,3.79790798,7.627037147,-2.281312942,-0.170443108,-1.581240935,1
53,-4.27079242,-6.616619822,0.037543476,3.517720893,-0.389670652,-3.590611185,12.20319559,2.209024145,-7.818828401,3.602195015,2.92751758,-3.590611185,0.547950242,-1.784145647,-4.27079242,1.176889905,-0.827658703,-1.325204888,0
54,-4.387657517,-1.041408221,1.555409952,1.322872315,-0.254428483,0.040762704,-1.538628481,1.281416301,-2.259066439,-2.615021902,1.472386603,0.040762704,0.068489173,-0.470068601,-4.387657517,6.074528879,-1.484874297,0.5269609,0
55,-3.029876087,4.533803379,3.073276427,1.546834322,-1.842975543,-1.402129023,3.621537624,-2.485043923,-6.525128781,-1.690664959,4.678450052,-1.402129023,-0.410971895,-1.649397858,-11.03205535,9.129607967,-0.971308797,1.729323838,0
56,-1.672094657,-1.420605061,-0.902926903,1.77079633,0.801557479,-0.992721395,4.097088308,-3.07878918,-3.645860775,-0.766308017,2.275801509,-0.992721395,1.307138109,0.343663603,-9.601718249,6.392643288,-2.016330306,0.590843167,1
57,-7.485389268,10.88992638,-0.187813984,5.235073203,-2.205158372,1.330962564,4.572638993,-2.076502365,-0.766592769,3.581908102,2.204956669,1.330962564,0.560045034,-3.749842421,-8.171381153,3.655678608,-3.061351816,-0.166555847,0
58,-6.741044056,4.839088651,1.845941465,-0.84962435,-1.22949883,-5.164888507,3.198574858,1.176519835,-0.82612784,2.742777006,-2.063539288,-5.164888507,-0.187048042,-0.621636234,-6.741044056,3.916950468,-1.801332515,-0.923954861,0
59,2.423823806,-2.418448472,-1.404685713,-1.25399744,-0.294272083,-3.405263094,-1.610999666,-2.402405279,1.168788393,0.358353085,-1.24621974,-3.405263094,-0.934141118,0.494464915,-0.946920742,4.178222328,-1.326571964,-0.690824653,0
60,4.847202573,-4.817896281,0.161295949,-0.049699401,-0.050741394,-3.258843288,-4.378684727,-2.877870548,-0.254557996,-2.026070836,-0.428900193,-3.258843288,-1.31486285,1.610566064,4.847202573,-0.412805907,-0.851811412,1.515650081,0
61,2.063022691,-4.55759335,0.630735473,1.154598638,-0.930736144,-1.566840236,-5.47119693,0.526695621,-1.677904386,-2.641854681,1.209151102,-1.566840236,-1.695584582,-0.008352389,-5.811165214,4.595577239,-1.523027149,1.230944764,0
